Continent,Region,Subregion,Stock,Group,Name,ScientificName,SpecCode,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,MSYBtrigger,Fmsy,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,btype,e.creep,force.cmsy,Comments,
Africa,ICCAT,Gulf of Guinea Upwelling,Ethm_fim_GulfGuineaUp,Medium pelagics (30 - 89 cm),Bonga shad in Gulf of Guinea Upwelling,Ethmalosa fimbriata,,"FAO (2019) Report of the FAO/CECAF Working Group on the Assessment of Small Pelagic Fish ? Subgroup South. Elmina, Ghana, 12-20 September 2018. CECAF/ECAF Series No. 19/81.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.4,0.8,NA,NA,NA,0.01,0.2,CPUE,NA,F,RF OK,
,IOTC,NA,Euth_aff_Indian,,Kawakawa,Euthynnus affinis,,https://www.iotc.org/node/3379,1950,2013,1975,2013,NA,NA,NA,NA,NA,NA,0.56,NA,Medium,NA,NA,0.15,0.25,NA,NA,NA,0.01,0.4,CPUE,NA,F,B/B0 provided in this ref. RF OK,
South America,IATTC,Magdalena Transition,Farf_cal_Magdalena,Shrimps,Yellowleg shrimp in Magdalena Transition,Farfantepenaeus californiensis,,"Borbo?n, J.A.G. (2019) Variabilidad En La Biomasa De Camaro?n Cafe? (Farfantepeanus Californiensis) En Bahi?a Magdalena ? Almejas, Baja California Sur, Me?xico. Ph.D. Thesis. Centro de Investigaciones Biolo?gicas del Noroeste, Mexico. 145 p.",1995,2015,1995,2015,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.01,0.2,NA,NA,NA,0.03,0.4,CPUE,NA,F,Species added to help account for the two species that were removed. Resilience assumed high based on r range. CPUE=Biomass not total. RF OK,
North America,ICCAT,Southern Gulf of Mexico,Farf_duo_SGoMex,Shrimps,Northern pink shrimp in Southern Gulf of Mexico,Farfantepenaeus duorarum,,"Casta�eda, F.J.M. (2012) Secretaria de Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion. DIARIO Official 24:1-236.",1950,2018,1970,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.34,0.76,0.6,1,NA,NA,NA,0.01,0.4,CPUE,NA,F,Assumed medium resilience. CPUE data for Campeche only. changed stb.low to 0.6. RF OK,
North America,Alaska Ecosystem Complex,Bering Sea / Aleutian Islands,Flathead sole - Bering Sea / Aleutian Islands,NA,Flathead sole,Hippoglossoides elassodon,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1964,2017,1964,2017,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.163279,0.371089,0.5,0.7,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,NAFO; NASCO; ICCAT,Gulf of Maine/Bay of Fundy,Gadu_mor_Maine,Large benthopelagics (>=90 cm),Atlantic cod in Gulf of Maine/Bay of Fundy,Gadus morhua,,"Palmer, M.C. (2014) Assessment update report of the Gulf of Maine Atlantic cod stock. Northeast Fish. Sci. Cent. Ref. Doc. 14-14.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,0.17,NA,Medium,0.34,0.78,0.01,0.3,NA,NA,NA,0.01,0.2,CPUE,NA,F,RF OK 12/06/18. Low catches in 1950 were caused by temporary lack of demand for cod because the new fishery on haddock was more profitable. But the stock was also depleted. RF OK,
North America,NAFO; NASCO; ICCAT,Scotian Shelf,Gadu_mor_ScotianShelf,Large benthopelagics (>=90 cm),Atlantic cod in Scotian Shelf,Gadus morhua,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1950,2018,NA,NA,NA,24000,NA,NA,0.2,NA,Medium,0.34,0.78,0.3,0.7,NA,NA,NA,0.01,0.2,CPUE,NA,F,intb pegged on 2001 CPUE value. RF OK,
North America,NAFO; NASCO; ICCAT,Southern Grand Banks - South Newfoundland,Gadu_mor_SGrandBanks,Large benthopelagics (>=90 cm),Atlantic cod in Southern Grand Banks - South Newfoundland,Gadus morhua,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1950,2018,0.3,NA,60000,NA,NA,NA,NA,NA,Medium,0.34,0.78,0.2,0.6,NA,NA,NA,0.01,0.2,CPUE,NA,F,Changed q.start date. RF OK,
North America,NAFO; NASCO; ICCAT,Gulf of St. Lawrence - Eastern Scotian Shelf,Gadu_mor_StLawrence,Large benthopelagics (>=90 cm),Atlantic cod in Gulf of St. Lawrence - Eastern Scotian Shelf,Gadus morhua,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.34,0.78,0.4,0.6,NA,NA,NA,0.01,0.2,CPUE,NA,F,Relative biomass represents the reported spawning stock biomass. RF OK,
North America,NAFO; NASCO; ICCAT,West Greenland Shelf,Gadu_mor_WGreenland,Large benthopelagics (>=90 cm),Atlantic cod in West Greenland Shelf,Gadus morhua,,"ICES (2017) Cod (Gadus morhua) in NAFO Subarea 1, inshore (West Greenland cod). ICES Advice 2017. DOI: 10.17895/ices.pub.3074",1950,2018,1950,2018,NA,NA,4346,5983,NA,NA,0.27,NA,Medium,0.34,0.78,0.4,0.8,NA,NA,NA,0.1,0.5,CPUE,NA,F,"Reinstate r. Relative biomass information for NAFO subarea 1 inshore. This stock is discarded at 20%. For now, the stock has been left in. Not sure if the results should be accepted - or perhaps the biomass should be removed. RF OK",
South America,CCSBT; ICCAT,North Patagonian Gulfs,Gale_gal_NPatagonianGulfs,Large sharks (>=90 cm),Tope shark in North Patagonian Gulfs,Galeorhinus galeus,,"El�as, I., and Pereiro, R. (2003) Estudios sobre la factibilidad de una pesquer�a artesanal con palangres en los golfos y costa de la Provincia del Chubut, Argentina. INIDEP Informe T�cnico 55:1-21.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.04,0.1,0.3,0.7,NA,NA,NA,0.01,0.1,CPUE,NA,F,"This tope shark is a bycatch species, but also has been targetted twice in Argentina (1940's and again in 1980's), catch data was better documented in the 80's/90's, I assumed similar circumstances to Gale_gal_Nargentina, I set int. bio. year to 1996 (best fitted CPUE point) at 0.01-0.2 and end biomass to 0.01-0.2 as this is a VULNERABLE IUCN redlist species and was a main target. Set interbio to 1996 at 0.01=0.2 to reflect previous notes. RF OK",
South America,CCSBT; ICCAT,Uruguay-Buenos Aires Shelf,Gale_gal_UruguayBuenosAires,Large sharks (>=90 cm),Tope shark in Uruguay-Buenos Aires Shelf,Galeorhinus galeus,,"Chiaramonte, G.E. (1998) Shark fisheries in Argentina. Marine and Freshwater Research 49(7):601-609.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.04,0.1,0.3,0.7,NA,NA,NA,0.01,0.2,CPUE,NA,F,"Reviewed by Deng (helped with windows), switched resilience ranges to NA, adjusted int. biomass window to 1982 (0.01-0.2), set start biomass to 0.4-0.8 and end biomass to 0.01-0.2, this is a main target species and on IUCN redlist as endangered. RF OK",
Oceania,CCSBT; IOTC; WCPFC,"Cape Howe, Manning-Hawkesbury and Tweed-Moreton",Geny_bla_CapeHoweManningTweed,Large bathydemersals (>=90 cm),"Pink cusk-eel in Cape Howe, Manning-Hawkesbury and Tweed-Moreton",Genypterus blacodes,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1980,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.27,0.62,0.2,0.6,NA,NA,NA,0.01,0.2,CPUE,NA,F,"Catch includes multiple marine ecoregions: Cape Howe, Manning-Hawkesbury, and Tweed-Moreton. RF OK",
South America,SPRFMO; IATTC,Channels and Fjords of Southern Chile,Geny_bla_ChannelsFjordsSChile,Large bathydemersals (>=90 cm),Pink cusk-eel in Channels and Fjords of Southern Chile,Genypterus blacodes,,"Wiff, R., et al. (2020) A multivariate statistical analysis to determine catch intention in the pink cusk-eel (Genypterus blacodes) longline fishery in southern Chile. Scientia Marina 84(1):17-26.",1950,2018,1975,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.27,0.62,0.6,1,NA,NA,NA,0.01,0.2,CPUE,NA,F,"LBB data was insufficient BUT Maria found more CPUE data from 1988-2017, then ran in CMSY and removed outlier (1988), needs review, left biomass windows according to softwares selection. ",
Europe,Northern Europe,NA,gfb.27.nea,NA,Greater forkbeard (Phycis blennoides) in subareas 1-10. 12 and 14 (the Northeast Atlantic and adjacent waters),Phycis blennoides,,https://standardgraphs.ices.dk/stockList.aspx,2005,2019,2005,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.332387,0.755425,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age:  ; type of abundance: Biomass Index,
Europe,Northern Europe,NA,ghl.27.561214,NA,Greenland halibut (Reinhardtius hippoglossoides) in subareas 5. 6. 12. and 14 (Iceland and Faroes grounds. West of Scotland. North of Azores. East of Greenland),Reinhardtius hippoglossoides,,https://standardgraphs.ices.dk/stockList.aspx,1960,2020,1960,2019,1.7,NA,0.3,NA,NA,0.5,1,NA,Low,0.16793,0.381659,0.8,1,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,F-age:  ; type of abundance: B/Bmsy. RF OK,
North America,NAFO; NASCO; ICCAT,Scotian Shelf,Glyp_cyn_ScotianShelf,Small to medium flatfishes (<90 cm),Witch flounder in Scotian Shelf,Glyptocephalus cynoglossus,,"McRuer, J., et al. (1997) Status of witch flounder in Div . 4VWX in 1997. DFO Can. Sci. Advis. Sec. Res. Doc. 97/106. 41 p.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.32,0.73,0.7,1,NA,NA,NA,0.01,0.2,CPUE,2,F,RF OK.,
North America,NAFO; NASCO; ICCAT,Southern Grand Banks - South Newfoundland,Glyp_cyn_SGrandBanks,Small to medium flatfishes (<90 cm),Witch flounder in Southern Grand Banks - South Newfoundland,Glyptocephalus cynoglossus,,DFO (2018) Stock assessment of witch flounder (Glyptocephalus cynoglossus) in NAFO Divisions 2J3KL. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2018/053. 15 p.,1950,2018,1950,2018,0.07,NA,NA,NA,NA,NA,0.07,NA,Medium,0.32,0.73,0.7,1,NA,NA,NA,0.01,0.2,CPUE,2,F,RF OK.,
North America,NAFO; NASCO; ICCAT,Gulf of St. Lawrence - Eastern Scotian Shelf,Glyp_cyn_StLawrence,Small to medium flatfishes (<90 cm),Witch flounder in Gulf of St. Lawrence - Eastern Scotian Shelf,Glyptocephalus cynoglossus,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,0.072,NA,Medium,0.32,0.73,0.7,1,NA,NA,NA,0.01,0.2,CPUE,2,F,RF OK.,
North America,Alaska Ecosystem Complex,Eastern Aleutian Islands,Golden king crab - Eastern Aleutian Islands,NA,Golden king crab,Lithodes aequispinus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1991,2017,1991,2017,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.25,0.35,NA,NA,NA,0.2,0.6,CPUE,NA,FALSE,NOAA Assessment model: Male-only Length-based Population Model. RF OK,
North America,Alaska Ecosystem Complex,Western Aleutian Islands,Golden king crab - Western Aleutian Islands,NA,Golden king crab,Lithodes aequispinus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1991,2017,1991,2017,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.2,0.3,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Male-only Length Based Population Model,
North America,California Current,Northern California,Gopher rockfish - Northern California,NA,Gopher rockfish,Sebastes carnatus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1965,2004,1983,2003,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.2,0.3,NA,NA,NA,0.2,0.6,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis. RF OK ,
North America,Gulf of Mexico,Gulf of Mexico,Gray snapper - Gulf of Mexico,NA,Gray snapper,Lutjanus griseus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1981,2015,1981,2015,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.295078,0.670632,0.25,0.35,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,Gulf of Mexico,Gulf of Mexico,Gray triggerfish - Gulf of Mexico,NA,Gray triggerfish,Balistes capriscus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1945,2013,1960,2010,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.348884,0.792918,0.8,0.9,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: SS,
North America,Southeast Shelf,Southern Atlantic Coast,Greater amberjack - Southern Atlantic Coast,NA,Greater amberjack,Seriola dumerili,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1980,2017,1980,2017,NA,NA,NA,NA,NA,NA,0.42399999499321,NA,Medium,0.390312,0.887073,0.6,0.7,NA,NA,NA,0.2,0.6,CPUE,NA,FALSE,NOAA Assessment model: Beaufort Statistical Catch-at-Length Model. RF OK,
North America,Pacific Islands Ecosystem Complex,Main Hawaiian Islands,Green jobfish - Main Hawaiian Islands,NA,Green jobfish,Aprion virescens,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1948,2018,1950,2004,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.55,0.65,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: Mean length-spawning potential ratio. RF OK,
North America,Alaska Ecosystem Complex,Bering Sea / Aleutian Islands,Greenland halibut - Bering Sea / Aleutian Islands,NA,Greenland halibut,Reinhardtius hippoglossoides,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1945,2017,1960,2017,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.16793,0.381659,0.3,0.4,NA,NA,NA,0.02,0.2,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,California Current,Pacific Coast,Greenspotted rockfish - Pacific Coast,NA,Greenspotted rockfish,Sebastes chlorostictus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1916,2010,1950,1999,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.8,0.95,NA,NA,NA,0.02,0.25,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis. RF OK,
North America,California Current,Pacific Coast,Greenstriped rockfish - Pacific Coast,NA,Greenstriped rockfish,Sebastes elongatus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1916,2008,1950,1998,NA,NA,NA,NA,NA,NA,NA,NA,Very low,NA,NA,0.7,0.9,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis. RF OK,
Europe,Northern Europe,NA,had.27.1-2,NA,Haddock (Melanogrammus aeglefinus) in subareas 1 and 2 (Northeast Arctic),Melanogrammus aeglefinus,,https://standardgraphs.ices.dk/stockList.aspx,1950,2020,1950,2019,0.77,0.47,50000,80000,NA,80000,0.35,NA,Medium,0.327257,0.743765,0.3,0.4,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,F-age: 4-7 ; type of abundance: SSB. RF OK,
Europe,Northern Europe,NA,had.27.46a20,NA,Haddock (Melanogrammus aeglefinus) in Subarea 4. Division 6.a. and Subdivision 20  (North Sea. West of Scotland. Skagerrak),Melanogrammus aeglefinus,,https://standardgraphs.ices.dk/stockList.aspx,1972,2020,1972,2019,0.39,0.28,94000,132000,NA,132000,0.19,NA,Medium,0.327257,0.743765,0.5,0.6,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 2-4 ; type of abundance: SSB,
Europe,Northern Europe,NA,had.27.6b,NA,Haddock (Melanogrammus aeglefinus) in Division 6.b (Rockall),Melanogrammus aeglefinus,,https://standardgraphs.ices.dk/stockList.aspx,1991,2020,1991,2019,1.06,0.71,2474,3712,NA,3712,0.168,NA,Medium,0.327257,0.743765,0.45,0.55,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age:  ; type of abundance: SSB,
Europe,Northern Europe,NA,had.27.7a,NA,Haddock (Melanogrammus aeglefinus) in Division 7.a (Irish Sea),Melanogrammus aeglefinus,,https://standardgraphs.ices.dk/stockList.aspx,1993,2020,1993,2019,0.53,0.38,2994,4160,NA,4280,0.28,NA,Medium,0.327257,0.743765,0.1,0.2,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 2-4 ; type of abundance: SSB,
Europe,Northern Europe,NA,had.27.7b-k,NA,Haddock (Melanogrammus aeglefinus) in divisions 7.b-k (southern Celtic Seas and English Channel),Melanogrammus aeglefinus,,https://standardgraphs.ices.dk/stockList.aspx,1993,2020,1993,2016,1.4,0.71,9227,12822,NA,12822,0.353,NA,Medium,0.327257,0.743765,0.1,0.2,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,F-age: 3-5 ; type of abundance: SSB. RF OK,
North America,Northeast Shelf,Gulf of Maine,Haddock - Gulf of Maine,NA,Haddock,Melanogrammus aeglefinus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1977,2018,1977,1995,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.327257,0.743765,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: ASAP,
Australia,Indo-Pacific,Australia,hali_rub_sas,benthic,Blacklip abalone,Haliotis rubra,,FishBase,1968,2016,1979,2016,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.85,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,FALSE,,
Australia,Indo-Pacific,Australia,hali_rub_saw,benthic,Blacklip abalone,Haliotis rubra,,FishBase,1968,2017,1979,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.85,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,FALSE,,
Australia,Indo-Pacific,Australia,hali_rub_tbs,benthic,Blacklip abalone,Haliotis rubra,,FishBase,1992,2017,2002,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.85,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,FALSE,Catch value for 2007 interpolated due to fishery cloesure in that year caused by fear of virus infection,
Australia,Indo-Pacific,Australia,hali_rub_tcw,benthic,Blacklip abalone,Haliotis rubra,,FishBase,1992,2017,1992,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.85,0.2,0.3,NA,NA,NA,0.02,0.2,CPUE,NA,FALSE,RF OK,
Australia,Indo-Pacific,Australia,hali_rub_te,benthic,Blacklip abalone,Haliotis rubra,,FishBase,1992,2017,1992,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.85,0.3,0.5,NA,NA,NA,0.04,0.4,CPUE,NA,FALSE,RF OK,
Australia,Indo-Pacific,Australia,hali_rub_tw,benthic,Blacklip abalone,Haliotis rubra,,FishBase,1992,2017,1992,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.85,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,FALSE,,
Europe,Northern Europe,NA,her.27.1-24a514a,NA,Herring (Clupea harengus) in subareas 1. 2. 5 and divisions 4.a and 14.a. Norwegian spring-spawning herring (the Northeast Atlantic and Arctic Ocean),Clupea harengus,,https://standardgraphs.ices.dk/stockList.aspx,1988,2020,1988,2015,0.291,0.227,2500000,3184000,NA,3184000,0.157,NA,Medium,0.299955,0.681717,0.1,0.2,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,F-age: 5-12+ ; type of abundance: SSB. RF OK,
Europe,Northern Europe,NA,her.27.20-24,NA,Herring (Clupea harengus) in subdivisions 20-24. spring spawners (Skagerrak. Kattegat. and western Baltic),Clupea harengus,,https://standardgraphs.ices.dk/stockList.aspx,1991,2020,1991,2011,0.45,0.35,120000,150000,NA,150000,0.31,NA,Medium,0.299955,0.681717,0.45,0.55,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 3-6 ; type of abundance: SSB,
Europe,Northern Europe,NA,her.27.25-2932,NA,Herring (Clupea harengus) in subdivisions 25-29 and 32. excluding the Gulf of Riga (central Baltic Sea),Clupea harengus,,https://standardgraphs.ices.dk/stockList.aspx,1974,2020,1974,2011,0.59,0.43,330000,460000,NA,460000,0.21,NA,Medium,0.299955,0.681717,0.6,0.7,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 3-6 ; type of abundance: SSB,
Europe,Northern Europe,NA,her.27.28,NA,Herring (Clupea harengus) in Subdivision 28.1 (Gulf of Riga),Clupea harengus,,https://standardgraphs.ices.dk/stockList.aspx,1977,2020,1977,2019,0.88,0.63,40800,57100,NA,60000,0.32,NA,Medium,0.299955,0.681717,0.2,0.3,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 3-7 ; type of abundance: SSB,
Europe,Northern Europe,NA,her.27.3a47d,NA,Herring (Clupea harengus) in Subarea 4 and divisions 3.a and 7.d. autumn spawners (North Sea. Skagerrak and Kattegat. eastern English Channel),Clupea harengus,,https://standardgraphs.ices.dk/stockList.aspx,1947,2020,1950,2019,0.34,0.3,800000,900000,NA,1400000,0.26,NA,Medium,0.299955,0.681717,0.8,0.9,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,F-age: 2-6 ; type of abundance: SSB. RF OK,
Europe,Northern Europe,NA,her.27.6a7bc,NA,Herring (Clupea harengus) in divisions 6.a and 7.b-c (West of Scotland. West of Ireland),Clupea harengus,,https://standardgraphs.ices.dk/stockList.aspx,1957,2019,1957,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.299955,0.681717,0.2,0.3,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age:  ; type of abundance: Stock Size: Relative,
Europe,Northern Europe,NA,her.27.irls,NA,Herring (Clupea harengus) in divisions 7.a South of 52°30’N. 7.g-h. and 7.j-k (Irish Sea. Celtic Sea. and southwest of Ireland),Clupea harengus,,https://standardgraphs.ices.dk/stockList.aspx,1958,2022,1958,2019,0.45,0.27,34000,54000,NA,54000,0.26,NA,Medium,0.299955,0.681717,0.8,0.9,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 2–5 ; type of abundance: SSB,
North America,NAFO; NASCO; ICCAT,"Southern Grand Banks - South Newfoundland, Northern Grand Banks - Southern Labrador and Northern Labrador",Hipp_pla_GrandBanksLabrador,Small to medium flatfishes (<90 cm),"American plaice in Southern Grand Banks - South Newfoundland, Northern Grand Banks - Southern Labrador and Northern Labrador",Hippoglossoides platessoides,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1960,2018,NA,NA,72600,NA,NA,NA,NA,NA,Low,NA,NA,0.2,0.6,NA,NA,NA,0.01,0.2,CPUE,NA,F,"Changed btype to CPUE (biomass from RAM, probably not total biomass); set start year=1960 (first CPUE), stb=0.2-0.6. RF OK",
Europe,Mediterranean,central Mediterranean,hke_17.18,NA,Hake (Merluccius merluccius) in GSAs 17 and 18,Merluccius merluccius,,STECF-20-15,1998,2019,1998,2019,NA,NA,NA,NA,NA,NA,0.179,NA,Medium,0.350704,0.797055,0.15,0.25,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 1-4 ; type of abundance: survey data ; SSB - estimated from assessment ; assessment method: SS3,
Europe,Mediterranean,western Mediterrannean,hke_8.9.10.11,NA,"Hake (Merluccius merluccius) in GSAs 8, 9, 10, 11",Merluccius merluccius,,STECF-20-09,1994,2019,1994,2019,NA,NA,NA,NA,NA,NA,0.17,NA,Medium,0.350704,0.797055,0.15,0.25,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 1-3 ; type of abundance: survey data ; SSB - estimated from assessment ; assessment method: a4a,
Europe,Northern Europe,NA,hke.27.3a46-8abd,NA,Hake (Merluccius merluccius) in subareas 4. 6. and 7. and divisions 3.a. 8.a-b. and 8.d. Northern stock (Greater North Sea. Celtic Seas. and the northern Bay of Biscay),Merluccius merluccius,,https://standardgraphs.ices.dk/stockList.aspx,1978,2020,1978,2019,0.84,0.6,40000,56000,NA,56000,0.26,NA,Medium,0.350704,0.797055,0.2,0.3,NA,NA,NA,0.4,0.7,CPUE,NA,FALSE,F-age:  ; type of abundance: SSB. RF OK,
Europe,Northern Europe,NA,hke.27.8c9a,NA,Hake (Merluccius merluccius) in divisions 8.c and 9.a. Southern stock (Cantabrian Sea and  Atlantic Iberian waters),Merluccius merluccius,,https://standardgraphs.ices.dk/stockList.aspx,1989,2019,1990,2019,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.350704,0.797055,0.2,0.3,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age:  ; type of abundance: Relative biomass,
North America,Gulf of Mexico,Eastern Gulf of Mexico,Hogfish - Eastern Gulf of Mexico,NA,Hogfish,Lachnolaimus maximus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1982,2016,1986,2016,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.35,0.45,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis,
North America,Southeast Shelf,Florida Keys / East Florida,Hogfish - Florida Keys / East Florida,NA,Hogfish,Lachnolaimus maximus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1986,2012,1986,2012,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.15,0.3,NA,NA,NA,0.02,0.25,CPUE,NA,FALSE,NOAA Assessment model: SS3. RF OK,
Australia,Indo-Pacific,Australia,holo_atl_s,bathypelagic,Orange roughy,Hoplostethus atlanticus,,,1986,2019,1989,2017,NA,NA,NA,NA,NA,NA,NA,NA,Very low,0.04,0.1,0.2,0.3,NA,NA,NA,NA,NA,CPUE,NA,FALSE,,
